date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:57:21	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Jun%202023%2017:57:21%20GMT	https://pulsespaceapes.com/robots.txt		(from )
12:57:22	20857/20857	---M--	200	added ('OK')	text/html	date:Tue,%2013%20Jun%202023%2021:20:16%20GMT	https://pulsespaceapes.com/	/Users/oneilbenjamin/websites/bhs/index-2.html	(from )
12:57:23	110972/110972	---M--	200	added ('OK')	text/css	date:Mon,%2012%20Jun%202023%2001:54:00%20GMT	https://pulsespaceapes.com/css/style.css	/Users/oneilbenjamin/websites/bhs/css/style.css	(from https://pulsespaceapes.com/)
12:57:23	23851/23851	---M-Z	200	added ('OK')	text/css	etag:W/%225d2b-SWuOdTKSzHjUlk2U7uXCUNU8oTo%22	https://cdn.jsdelivr.net/npm/sweetalert2@11.7.12/dist/sweetalert2.min.css	/Users/oneilbenjamin/websites/bhs/npm/sweetalert2@11.7.12/dist/sweetalert2.min.css	(from https://pulsespaceapes.com/)
12:57:24	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Jun%202023%2017:57:24%20GMT	https://pulsespaceapes.com/@sweetalert2/theme-dark/dark.css	/Users/oneilbenjamin/websites/bhs/@sweetalert2/theme-dark/dark.css	(from https://pulsespaceapes.com/)
12:57:25	13188/13188	---M--	200	added ('OK')	application/javascript	date:Wed,%2009%20Feb%202022%2004:27:58%20GMT	https://pulsespaceapes.com/js/webfont.js	/Users/oneilbenjamin/websites/bhs/js/webfont.js	(from https://pulsespaceapes.com/)
12:57:26	2564/2564	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Feb%202022%2006:58:18%20GMT	https://pulsespaceapes.com/img/favicon-32x32.png	/Users/oneilbenjamin/websites/bhs/img/favicon-32x32.png	(from https://pulsespaceapes.com/)
12:57:27	2412/2412	---M--	200	added ('OK')	application/javascript	date:Wed,%2009%20Feb%202022%2007:20:20%20GMT	https://pulsespaceapes.com/js/web3/usernfts.js	/Users/oneilbenjamin/websites/bhs/js/web3/usernfts.js	(from https://pulsespaceapes.com/)
12:57:28	17745/17745	---M--	200	added ('OK')	image/gif	date:Tue,%2008%20Feb%202022%2000:41:34%20GMT	https://pulsespaceapes.com/img/galaxy.gif	/Users/oneilbenjamin/websites/bhs/img/galaxy.gif	(from https://pulsespaceapes.com/)
12:57:30	469113/469113	---M--	200	added ('OK')	image/gif	date:Tue,%2008%20Feb%202022%2003:35:14%20GMT	https://pulsespaceapes.com/img/front.gif	/Users/oneilbenjamin/websites/bhs/img/front.gif	(from https://pulsespaceapes.com/)
